location,date,diet,Species,Sex,Age,15N,13C,tissue
l,6/26/2015,nectar,Glossophaga_soricina,M,J,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,F,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,F,A,7.65,-23.72,stomach
